,bitstring,ideal_prob,depolarize_single_0.0016_prob
115,00000001110011,7.756429260347093e-06,5e-05
116,00000001110100,0.00016024563538560125,9.8e-05
117,00000001110101,9.927175491274141e-05,7e-05
118,00000001110110,0.00012014107987014739,7.8e-05
119,00000001110111,3.76094229639265e-05,7.4e-05
120,00000001111000,0.0001452039101377452,9.8e-05
121,00000001111001,1.2413436589627833e-05,5e-05
122,00000001111010,3.950423371292366e-05,6.8e-05
123,00000001111011,4.477631309834372e-05,5e-05
124,00000001111100,2.6238507405171633e-05,5.4e-05
125,00000001111101,2.167687777600615e-05,6e-05
126,00000001111110,4.646642903027941e-05,5.2e-05
127,00000001111111,0.00010440433288878893,8.6e-05
128,00000010000000,8.016599058096143e-05,5.6e-05
129,00000010000001,0.00010953367242915374,6.6e-05
130,00000010000010,1.781391084161638e-05,6.6e-05
131,00000010000011,9.242401966724786e-05,6.8e-05
132,00000010000100,0.00024056075639717592,0.00012
133,00000010000101,0.00015001079161854457,0.000112
134,00000010000110,4.4485241682404116e-05,5.8e-05
135,00000010000111,0.00011800283919392222,8.6e-05
136,00000010001000,1.5967759577503063e-05,3.6e-05
137,00000010001001,0.00013602248984756986,7.8e-05
138,00000010001010,2.0138200348399877e-05,4.2e-05
139,00000010001011,3.694501403475877e-05,2.8e-05
140,00000010001100,5.940508354182631e-06,2.8e-05
141,00000010001101,3.1671181872405186e-05,4.8e-05
142,00000010001110,5.280893005236283e-05,7.8e-05
143,00000010001111,9.239783331639097e-05,9e-05
144,00000010010000,7.888681632531885e-06,4.4e-05
145,00000010010001,4.6651649532490305e-05,5.6e-05
146,00000010010010,2.3563385527704993e-05,5.2e-05
147,00000010010011,1.4364039612415529e-05,4.4e-05
148,00000010010100,3.5845952052829266e-06,6.2e-05
149,00000010010101,0.00013724306625993946,7e-05
150,00000010010110,4.7974545261862244e-05,7e-05
151,00000010010111,2.0226699055860838e-05,5e-05
152,00000010011000,6.077455464038537e-05,4.4e-05
153,00000010011001,4.278110561518122e-05,4.6e-05
154,00000010011010,0.00013802157759607763,0.000102
155,00000010011011,1.4110859529118204e-05,4e-05
156,00000010011100,7.583356107914639e-05,6.8e-05
157,00000010011101,4.4099447221002675e-05,6.8e-05
158,00000010011110,2.538685833319943e-05,3.2e-05
159,00000010011111,7.934624872113948e-05,7.6e-05
160,00000010100000,7.181452220912647e-06,4.6e-05
161,00000010100001,0.00017054367731302085,0.00011
162,00000010100010,6.459274227900208e-05,6.6e-05
163,00000010100011,0.00020361265283287873,0.000114
164,00000010100100,8.943632022919768e-05,7.4e-05
165,00000010100101,5.1656682539819675e-05,4.4e-05
166,00000010100110,2.256368362303587e-06,5.2e-05
167,00000010100111,3.15318471799105e-05,8.2e-05
168,00000010101000,1.926222603755503e-06,5.4e-05
169,00000010101001,2.3810545823347536e-05,6.4e-05
170,00000010101010,8.47495519090427e-05,7.6e-05
171,00000010101011,6.601810167888465e-05,6.6e-05
172,00000010101100,1.9276124346751665e-05,5.8e-05
173,00000010101101,7.071823831652025e-05,7.4e-05
174,00000010101110,7.983012761540384e-05,6.8e-05
175,00000010101111,3.923553818460911e-05,5.6e-05
176,00000010110000,0.00012307920717849222,6.8e-05
177,00000010110001,0.00018717559052480233,0.000114
178,00000010110010,1.4215340306735586e-05,5.4e-05
179,00000010110011,6.916499682295288e-05,5e-05
180,00000010110100,8.724920224902278e-05,7.4e-05
181,00000010110101,3.563472488740878e-05,6.6e-05
182,00000010110110,5.380628886514708e-05,7.2e-05
183,00000010110111,7.604001679796346e-05,5.2e-05
184,00000010111000,0.00016506730488844698,0.000116
185,00000010111001,5.816452129189701e-05,5.6e-05
186,00000010111010,5.4173623886600196e-05,6.2e-05
187,00000010111011,3.852342092115766e-06,5.4e-05
188,00000010111100,5.026224688586386e-05,7.6e-05
189,00000010111101,9.399920274667097e-06,4.8e-05
190,00000010111110,3.310741668209304e-05,4.8e-05
191,00000010111111,2.242678217894505e-06,4e-05
