,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
6577,01100110110001,-6.092998596605309e-05,-0.0055615214375226395,3.093423316321371e-05,4.6e-05,6.4e-05
6578,01100110110010,0.00569422427289336,-0.0018356051908877597,3.5793636486822e-05,4e-05,5.6e-05
6579,01100110110011,0.0012731866764037441,0.007921784539580052,6.437567460450154e-05,5.2e-05,6.4e-05
6580,01100110110100,0.003029769554156744,-0.004708277604323274,3.1347381550667265e-05,5.4e-05,7.4e-05
6581,01100110110101,-0.004910482026602653,-0.0003830902336041898,2.425959186067061e-05,3e-05,5e-05
6582,01100110110110,0.00688086297158547,0.00557048555277098,7.837658452736623e-05,3.6e-05,8e-05
6583,01100110110111,-0.0013349770389123826,0.005872953666524794,3.627374846357029e-05,7.2e-05,6.6e-05
6584,01100110111000,-0.003810153624390116,0.006758101913848931,6.018921211942173e-05,8.8e-05,7.6e-05
6585,01100110111001,-0.005456683285675458,-0.005585840844424775,6.0977010419413985e-05,6.2e-05,4.8e-05
6586,01100110111010,0.004190096204747321,0.0012491614889205804,1.911731063044018e-05,5.6e-05,5.6e-05
6587,01100110111011,0.0017049349766471813,-0.002130133487901121,7.44427195087272e-06,3.4e-05,5.6e-05
6588,01100110111100,-0.010175804269153235,-0.0079855291300511,0.00016731566801101187,6e-05,8e-05
6589,01100110111101,-0.0007733437272282118,0.0037280409101721713,1.4496349548360574e-05,4e-05,4.4e-05
6590,01100110111110,-0.002960043433172412,0.0021459118711005844,1.336679488479753e-05,3.2e-05,2.8e-05
6591,01100110111111,0.0025070106304747857,-0.006350454196110071,4.661337079820559e-05,3.6e-05,5.2e-05
6592,01100111000000,0.004944012509810921,-0.005124462917350804,5.070337988847039e-05,8.8e-05,5.2e-05
6593,01100111000001,-0.0060846701334954555,-0.0032936787096493553,4.787153007584905e-05,8.2e-05,6e-05
6594,01100111000010,-0.004687886780940448,-0.0016272345678990455,2.4624174809881794e-05,4.4e-05,4.8e-05
6595,01100111000011,-0.0016831280182767428,0.0027348707656094187,1.0312438030493244e-05,4.2e-05,4e-05
